game,algorithm,seed,threshold,converged,episodes,restarts
StagHunt,Meta-MAPG,4,4.0,False,1000,0
StagHunt,Meta-MAPG,5,4.0,False,1000,0
StagHunt,Meta-MAPG,6,4.0,False,1000,0
StagHunt,Meta-MAPG,7,4.0,False,1000,0
StagHunt,Meta-MAPG,8,4.0,False,1000,0
StagHunt,Meta-MAPG,9,4.0,False,1000,0
StagHunt,Meta-MAPG,10,4.0,False,1000,0
StagHunt,Meta-MAPG,11,4.0,False,1000,0
StagHunt,Meta-MAPG,12,4.0,False,1000,0
StagHunt,Meta-MAPG,13,4.0,False,1000,0
StagHunt,Meta-MAPG,14,4.0,False,1000,0
StagHunt,Meta-MAPG,15,4.0,False,1000,0
StagHunt,Meta-MAPG,16,4.0,False,1000,0
StagHunt,Meta-MAPG,17,4.0,False,1000,0
StagHunt,Meta-MAPG,18,4.0,False,1000,0
StagHunt,Meta-MAPG,19,4.0,False,1000,0
StagHunt,Meta-MAPG,20,4.0,False,1000,0
StagHunt,Meta-MAPG,21,4.0,False,1000,0
StagHunt,Meta-MAPG,22,4.0,False,1000,0
StagHunt,Meta-MAPG,23,4.0,False,1000,0
StagHunt,Meta-MAPG,24,4.0,False,1000,0
StagHunt,Meta-MAPG,25,4.0,False,1000,0
StagHunt,Meta-MAPG,26,4.0,False,1000,0
StagHunt,Meta-MAPG,27,4.0,False,1000,0
StagHunt,Meta-MAPG,28,4.0,False,1000,0
StagHunt,Meta-MAPG,29,4.0,False,1000,0
StagHunt,Meta-MAPG,30,4.0,False,1000,0
StagHunt,Meta-MAPG,31,4.0,False,1000,0
StagHunt,Meta-MAPG,32,4.0,False,1000,0
StagHunt,Meta-MAPG,33,4.0,False,1000,0
StagHunt,Meta-MAPG,34,4.0,False,1000,0
StagHunt,Meta-MAPG,35,4.0,False,1000,0
StagHunt,Meta-MAPG,36,4.0,False,1000,0
StagHunt,Meta-MAPG,37,4.0,False,1000,0
StagHunt,Meta-MAPG,38,4.0,False,1000,0
StagHunt,Meta-MAPG,39,4.0,False,1000,0
StagHunt,Meta-MAPG,40,4.0,False,1000,0
StagHunt,Meta-MAPG,41,4.0,False,1000,0
StagHunt,Meta-MAPG,42,4.0,False,1000,0
StagHunt,Meta-MAPG,43,4.0,False,1000,0
StagHunt,Meta-MAPG,44,4.0,False,1000,0
StagHunt,Meta-MAPG,45,4.0,False,1000,0
StagHunt,Meta-MAPG,46,4.0,False,1000,0
StagHunt,Meta-MAPG,47,4.0,False,1000,0
StagHunt,Meta-MAPG,48,4.0,False,1000,0
StagHunt,Meta-MAPG,49,4.0,False,1000,0
StagHunt,Meta-MAPG,50,4.0,False,1000,0
StagHunt,Meta-MAPG,51,4.0,False,1000,0
StagHunt,Meta-MAPG,52,4.0,False,1000,0
StagHunt,Meta-MAPG,53,4.0,False,1000,0
StagHunt,Meta-MAPG,54,4.0,False,1000,0
StagHunt,Meta-MAPG,55,4.0,False,1000,0
StagHunt,Meta-MAPG,56,4.0,False,1000,0
StagHunt,Meta-MAPG,57,4.0,False,1000,0
StagHunt,Meta-MAPG,58,4.0,False,1000,0
StagHunt,Meta-MAPG,59,4.0,False,1000,0
StagHunt,Meta-MAPG,60,4.0,False,1000,0
StagHunt,Meta-MAPG,61,4.0,False,1000,0
StagHunt,Meta-MAPG,62,4.0,False,1000,0
StagHunt,Meta-MAPG,63,4.0,False,1000,0
StagHunt,Meta-MAPG,64,4.0,False,1000,0
StagHunt,Meta-MAPG,65,4.0,False,1000,0
StagHunt,Meta-MAPG,66,4.0,False,1000,0
StagHunt,Meta-MAPG,67,4.0,False,1000,0
StagHunt,Meta-MAPG,68,4.0,False,1000,0
StagHunt,Meta-MAPG,69,4.0,False,1000,0
StagHunt,Meta-MAPG,70,4.0,False,1000,0
StagHunt,Meta-MAPG,71,4.0,False,1000,0
StagHunt,Meta-MAPG,72,4.0,False,1000,0
StagHunt,Meta-MAPG,73,4.0,False,1000,0
StagHunt,Meta-MAPG,74,4.0,False,1000,0
StagHunt,Meta-MAPG,75,4.0,False,1000,0
StagHunt,Meta-MAPG,76,4.0,False,1000,0
StagHunt,Meta-MAPG,77,4.0,False,1000,0
StagHunt,Meta-MAPG,78,4.0,False,1000,0
StagHunt,Meta-MAPG,79,4.0,False,1000,0
StagHunt,Meta-MAPG,80,4.0,False,1000,0
StagHunt,Meta-MAPG,81,4.0,False,1000,0
StagHunt,Meta-MAPG,82,4.0,False,1000,0
StagHunt,Meta-MAPG,83,4.0,False,1000,0
StagHunt,Meta-MAPG,84,4.0,False,1000,0
StagHunt,Meta-MAPG,85,4.0,False,1000,0
StagHunt,Meta-MAPG,86,4.0,False,1000,0
StagHunt,Meta-MAPG,87,4.0,False,1000,0
StagHunt,Meta-MAPG,88,4.0,False,1000,0
StagHunt,Meta-MAPG,89,4.0,False,1000,0
StagHunt,Meta-MAPG,90,4.0,False,1000,0
StagHunt,Meta-MAPG,91,4.0,False,1000,0
StagHunt,Meta-MAPG,92,4.0,False,1000,0
StagHunt,Meta-MAPG,93,4.0,False,1000,0
StagHunt,Meta-MAPG,94,4.0,False,1000,0
StagHunt,Meta-MAPG,95,4.0,False,1000,0
StagHunt,Meta-MAPG,96,4.0,False,1000,0
StagHunt,Meta-MAPG,97,4.0,False,1000,0
StagHunt,Meta-MAPG,98,4.0,False,1000,0
StagHunt,Meta-MAPG,99,4.0,False,1000,0
StagHunt,Meta-MAPG+Restarts,0,4.0,True,452,7
StagHunt,Meta-MAPG+Restarts,1,4.0,True,255,5
StagHunt,Meta-MAPG+Restarts,2,4.0,True,227,2
StagHunt,Meta-MAPG+Restarts,3,4.0,False,1000,19
StagHunt,Meta-MAPG+Restarts,4,4.0,False,1000,19
StagHunt,Meta-MAPG+Restarts,5,4.0,True,637,10
StagHunt,Meta-MAPG+Restarts,6,4.0,True,153,3
StagHunt,Meta-MAPG+Restarts,7,4.0,True,313,4
StagHunt,Meta-MAPG+Restarts,8,4.0,True,255,5
StagHunt,Meta-MAPG+Restarts,9,4.0,True,332,4
StagHunt,Meta-MAPG+Restarts,10,4.0,True,721,12
StagHunt,Meta-MAPG+Restarts,11,4.0,True,116,2
